nid,nseq,eid,x,y,epsg
122070,2,178289,416.633794909064,124.902227966262,3364
122070,3,178288,416.633794909064,124.902227966262,3364
122071,1,178290,417.055886164429,123.566045596024,3364
122071,2,176454,417.055886164429,123.566045596024,3364
122071,3,178291,417.055886164429,123.566045596024,3364
122072,1,178292,436.16870525503,166.13913264742,3364
122072,2,179952,436.16870525503,166.13913264742,3364
122072,3,178294,436.16870525503,166.13913264742,3364
122073,1,178295,436.424301562776,175.181334571573,3364
122073,2,178294,436.424301562776,175.181334571573,3364
122073,3,178293,436.424301562776,175.181334571573,3364
122074,1,182027,442.889996255267,174.960794802826,3364
122074,2,178297,442.889996255267,174.960794802826,3364
122074,3,178295,442.889996255267,174.960794802826,3364
122075,1,183650,436.151515102119,165.365208501115,3364
122075,2,178296,436.151515102119,165.365208501115,3364
122075,3,178292,436.151515102119,165.365208501115,3364
122076,1,178828,821.77292562223,68.3997311951687,3364
122076,2,178298,821.77292562223,68.3997311951687,3364
122076,3,177848,821.77292562223,68.3997311951687,3364
122076,4,178299,821.77292562223,68.3997311951687,3364
122077,1,178299,821.798574672708,68.5863239447061,3364
122077,2,178303,821.798574672708,68.5863239447061,3364
122078,1,178301,822.422550116127,68.8633976468492,3364
122078,2,178300,822.422550116127,68.8633976468492,3364
